Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      2.08     0.00      998     0.00     0.00  std::_Bit_iterator std::__niter_base<std::_Bit_iterator>(std::_Bit_iterator)
  0.00      2.08     0.00      998     0.00     0.00  unsigned long* std::__niter_wrap<unsigned long*>(unsigned long* const&, unsigned long*)
  0.00      2.08     0.00      998     0.00     0.00  std::_Bit_iterator std::__niter_wrap<std::_Bit_iterator>(std::_Bit_iterator const&, std::_Bit_iterator)
  0.00      2.08     0.00      998     0.00     0.00  unsigned long* std::__copy_move_a<false, unsigned long*, unsigned long*>(unsigned long*, unsigned long*, unsigned long*)
  0.00      2.08     0.00      998     0.00     0.00  std::_Bit_iterator std::__copy_move_a<false, std::_Bit_const_iterator, std::_Bit_iterator>(std::_Bit_const_iterator, std::_Bit_const_iterator, std::_Bit_iterator)
  0.00      2.08     0.00      998     0.00     0.00  unsigned long* std::__copy_move_a1<false, unsigned long*, unsigned long*>(unsigned long*, unsigned long*, unsigned long*)
  0.00      2.08     0.00      998     0.00     0.00  std::_Bit_iterator std::__copy_move_a1<false, std::_Bit_const_iterator, std::_Bit_iterator>(std::_Bit_const_iterator, std::_Bit_const_iterator, std::_Bit_iterator)
  0.00      2.08     0.00      998     0.00     0.00  unsigned long* std::__copy_move_a2<false, unsigned long*, unsigned long*>(unsigned long*, unsigned long*, unsigned long*)
  0.00      2.08     0.00      998     0.00     0.00  std::_Bit_iterator std::__copy_move_a2<false, std::_Bit_const_iterator, std::_Bit_iterator>(std::_Bit_const_iterator, std::_Bit_const_iterator, std::_Bit_iterator)
  0.00      2.08     0.00      998     0.00     0.00  unsigned long* std::copy<unsigned long*, unsigned long*>(unsigned long*, unsigned long*, unsigned long*)
  0.00      2.08     0.00      998     0.00     0.00  std::_Bit_iterator std::copy<std::_Bit_const_iterator, std::_Bit_iterator>(std::_Bit_const_iterator, std::_Bit_const_iterator, std::_Bit_iterator)
  0.00      2.08     0.00      998     0.00     0.00  std::vector<bool, std::allocator<bool> > const& std::forward<std::vector<bool, std::allocator<bool> > const&>(std::remove_reference<std::vector<bool, std::allocator<bool> > const&>::type&)
  0.00      2.08     0.00      998     0.00     0.00  void std::_Destroy<std::vector<bool, std::allocator<bool> > >(std::vector<bool, std::allocator<bool> >*)
  0.00      2.08     0.00      988     0.00     0.00  std::_Deque_base<unsigned int, std::allocator<unsigned int> >::_M_get_Tp_allocator() const
  0.00      2.08     0.00      972     0.00     0.00  __gnu_cxx::new_allocator<unsigned int>::deallocate(unsigned int*, unsigned long)
  0.00      2.08     0.00      972     0.00     0.00  __gnu_cxx::new_allocator<unsigned int>::allocate(unsigned long, void const*)
  0.00      2.08     0.00      972     0.00     0.00  std::allocator_traits<std::allocator<unsigned int> >::deallocate(std::allocator<unsigned int>&, unsigned int*, unsigned long)
  0.00      2.08     0.00      972     0.00     0.00  std::allocator_traits<std::allocator<unsigned int> >::allocate(std::allocator<unsigned int>&, unsigned long)
  0.00      2.08     0.00      971     0.00     0.00  __gnu_cxx::new_allocator<unsigned int>::max_size() const
  0.00      2.08     0.00      971     0.00     0.00  std::_Deque_base<unsigned int, std::allocator<unsigned int> >::_M_allocate_node()
  0.00      2.08     0.00      971     0.00     0.00  std::_Deque_base<unsigned int, std::allocator<unsigned int> >::_M_deallocate_node(unsigned int*)
  0.00      2.08     0.00      971     0.00     0.00  std::allocator_traits<std::allocator<unsigned int> >::max_size(std::allocator<unsigned int> const&)
  0.00      2.08     0.00      970     0.00     0.00  std::deque<unsigned int, std::allocator<unsigned int> >::size() const
  0.00      2.08     0.00      970     0.00     0.00  std::deque<unsigned int, std::allocator<unsigned int> >::max_size() const
  0.00      2.08     0.00      970     0.00     0.00  std::deque<unsigned int, std::allocator<unsigned int> >::_S_max_size(std::allocator<unsigned int> const&)
  0.00      2.08     0.00      970     0.00     0.00  std::deque<unsigned int, std::allocator<unsigned int> >::_M_pop_back_aux()
  0.00      2.08     0.00      970     0.00     0.00  void std::deque<unsigned int, std::allocator<unsigned int> >::_M_push_back_aux<unsigned int const&>(unsigned int const&)
  0.00      2.08     0.00      970     0.00     0.00  std::deque<unsigned int, std::allocator<unsigned int> >::_M_reserve_map_at_back(unsigned long)
  0.00      2.08     0.00      970     0.00     0.00  std::operator-(std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*> const&, std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*> const&)
  0.00      2.08     0.00      500     0.00     0.00  bool __gnu_cxx::operator!=<std::vector<bool, std::allocator<bool> > const*, std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > > >(__gnu_cxx::__normal_iterator<std::vector<bool, std::allocator<bool> > const*, std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > > > const&, __gnu_cxx::__normal_iterator<std::vector<bool, std::allocator<bool> > const*, std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > > > const&)
  0.00      2.08     0.00      499     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<bool, std::allocator<bool> > const*, std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > > >::operator++()
  0.00      2.08     0.00      499     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<bool, std::allocator<bool> > const*, std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > > >::operator*() const
  0.00      2.08     0.00      111     0.00     0.00  Edge* std::__niter_base<Edge*>(Edge*)
  0.00      2.08     0.00       74     0.00     0.00  std::vector<Edge, std::allocator<Edge> >::size() const
  0.00      2.08     0.00       56     0.00     0.00  __gnu_cxx::new_allocator<Edge>::_M_max_size() const
  0.00      2.08     0.00       40     0.00     0.00  __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >::__normal_iterator(Edge* const&)
  0.00      2.08     0.00       40     0.00     0.00  std::_Vector_base<Edge, std::allocator<Edge> >::_M_get_Tp_allocator()
  0.00      2.08     0.00       37     0.00     0.00  __gnu_cxx::new_allocator<Edge>::max_size() const
  0.00      2.08     0.00       37     0.00     0.00  std::_Vector_base<Edge, std::allocator<Edge> >::_M_get_Tp_allocator() const
